CODGEO,LIBGEO,part_employes
Artigueloutan,0,37.7
Artiguelouve,12.4,11.9
Artix,9.2,20.8
Arudy,13.3,23.8
Arzacq-Arraziguet,15.3,40.2
Asasp-Arros,0,16.2
Ascain,11.2,30.5
Ascarat,5.3,15.6
Assat,10.6,23.2
Asson,7.7,23.2
Aste-Béon,0,0
Astis,0,20.1
Athos-Aspis,0,0
Aubertin,0,12.8
Aubin,0,0
Aubous,0,0
Audaux,0,20.4
Auga,0,50
Auriac,8.1,11
Aurions-Idernes,0,8.2
Aussevielle,8,37
Aussurucq,0,10.5
Auterrive,0,0
Autevielle-Saint-Martin-Bideren,0,0
Aydie,0,0
Aydius,0,28.7
Ayherre,4.6,9.6
Baigts-de-Béarn,6.1,20.3
Balansun,0,30.4
Baleix,0,0
Baliracq-Maumusson,0,40
Baliros,24.9,0
Banca,8.7,30.8
Barcus,7.8,11.5
Bardos,10.2,23.9
Barinque,7.2,36.2
Barraute-Camu,0,42.9
Barzun,0,50
Bassillon-Vauzé,0,0
Bastanès,0,0
Bassussarry,19.1,22.7
Baudreix,0,36.9
Bayonne,17,29.9
Bédeille,25.4,49.2
Bedous,8.9,41
Béguios,0,13.9
Béhasque-Lapiste,0,20.3
Béhorléguy,0,0
Bellocq,0,24
Bénéjacq,9.7,34.9
Béost,0,20.9
Bentayou-Sérée,0,100
Bérenx,0,43.6
Bergouey-Viellenave,0,0
Bernadets,8,31.5
Berrogain-Laruns,8.7,7.7
Bescat,0,0
Bésingrand,100,0
Bétracq,0,0
Beuste,12,20
Beyrie-sur-Joyeuse,0,0
Beyrie-en-Béarn,0,0
Biarritz,16.3,30.7
Bidache,12.4,34.5
Bidarray,3.7,19.1
Bidart,22.9,21
Bidos,14.4,9.1
Bielle,0,17.4
Bilhères,14.4,42.6
Billère,14.9,32.5
Biriatou,2.1,28
Biron,13.7,15.8
Bizanos,12.1,28.8
Boeil-Bezing,0,28.1
Bonloc,14.7,10.3
Bonnut,0,22.5
Borce,16.8,6.4
Bordères,6.1,23.8
Bordes,39.1,11.4
Bosdarros,3.8,15.1
Boucau,11.4,31.9
Boueilh-Boueilho-Lasque,0,0
Bougarber,0,17.9
Bouillon,0,0
Boumourt,0,0
Bourdettes,10.8,22.4
Bournos,24.7,25.5
Briscous,6.3,28.2
Bruges-Capbis-Mifaget,9.3,9.2
Bugnein,0,0
Bunus,22.1,28.4
Burgaronne,0,25
Buros,13,23.4
Burosse-Mendousse,0,0
Bussunarits-Sarrasquette,0,27.9
Bustince-Iriberry,11.3,0
Buziet,6,5.7
Buzy,6.5,16.9
Cabidos,0,0
Cadillon,0,34.6
Cambo-les-Bains,11.6,35.5
Came,2,9.7
Camou-Cihigue,0,50
Cardesse,0,0
Caro,0,24.4
Carrère,0,0
Carresse-Cassaber,6.2,6.2
Castagnède,25,0
Casteide-Cami,0,45.2
Casteide-Candau,16.2,17.5
Casteide-Doat,0,0
Castéra-Loubix,N/A - division par 0,N/A - division par 0
Castet,8.3,16.6
Castetbon,0,0
Castétis,6.8,16
Castetnau-Camblong,3.7,31.9
Castetner,0,28.2
Castetpugon,0,33.3
Castillon (Canton d'Arthez-de-Béarn),12.4,25.2
Castillon (Canton de Lembeye),0,0
Caubios-Loos,14.5,27.4
Cescau,0,19.4
Cette-Eygun,0,82.9
Charre,10.1,10.3
Charritte-de-Bas,10.6,19
Chéraute,15.6,15.8
Ciboure,14.9,28.5
Claracq,16.4,4.7
Coarraze,16.3,28.7
Conchez-de-Béarn,33.3,0
Corbère-Abères,0,28.4
Coslédaà-Lube-Boast,0,8.2
Coublucq,0,0
Crouseilles,25,0
Cuqueron,0,0
Denguin,8.6,29.8
Diusse,5.4,17
Doazon,6.5,0
Dognen,0,0
Domezain-Berraute,6.6,37.2
Doumy,7.5,23.8
Eaux-Bonnes,3.2,23.8
Escos,0,60.2
Escot,0,0
Escou,0,14.5
Escoubès,0,22.3
Escout,6.3,15.5
Escurès,0,33.3
Eslourenties-Daban,0,0
Espéchède,0,22.1
Espelette,9.5,24.2
Espès-Undurein,0,5.8
Espiute,0,13.7
Espoey,10.8,9
Esquiule,5.4,33.8
Estérençuby,0,0
Estialescq,0,0
Estos,0,32
Etcharry,0,28.8
Etchebar,14.3,0
Etsaut,0,17.9
Eysus,12,19.7
Ance Féas,0,12
Fichous-Riumayou,0,51
Gabaston,11.3,33.7
Gabat,0,16.7
Gamarthe,4.4,4.5
Gan,16.3,27
Garindein,0,0
Garlède-Mondebat,0,6.6
Garlin,11.9,27.5
Garos,52.6,0
Garris,0,0
Gayon,0,36
Gelos,11.1,25.9
Ger,7.7,34.1
Gerderest,N/A - division par 0,N/A - division par 0
Gère-Bélesten,0,0
Géronce,0,18.7
Gestas,0,0
Géus-d'Arzacq,0,50
Geüs-d'Oloron,6.1,41.7
Goès,0,34.7
Gomer,0,79.5
Gotein-Libarrenx,4.9,25.2
Guéthary,8.6,33.7
Guiche,4.1,17.9
Guinarthe-Parenties,19.8,0
Gurmençon,12.6,27.8
Gurs,0,0
Hagetaubin,0,62.1
Halsou,0,29.3
Hasparren,14.1,29.3
Haut-de-Bosdarros,0,33.4
Haux,0,0
Hélette,8.3,8.4
Hendaye,12.9,31.6
Herrère,24.8,10.6
Higuères-Souye,0,0
L'Hôpital-d'Orion,N/A - division par 0,N/A - division par 0
L'Hôpital-Saint-Blaise,0,50.8
Hosta,0,0
Hours,11.3,11.3
Ibarrolle,0,9.9
Idaux-Mendy,3.4,3.4
Idron,11.9,26.8
Igon,11.4,28.6
Iholdy,2.7,27.5
Ilharre,0,0
Irissarry,6.4,10
Irouléguy,5.4,11.4
Ispoure,9.5,46.9
Issor,0,10.5
Isturits,14.1,39.8
Itxassou,7,18.2
Izeste,15.4,24.8
Jasses,0,19.5
Jatxou,18.6,28.9
Jaxu,11.2,10.7
Jurançon,14.1,27.9
Juxue,0,22.2
Laà-Mondrans,0,26
Laàs,32.8,16.9
Labastide-Cézéracq,12.8,11.8
La Bastide-Clairence,15.2,22.7
Labastide-Monréjeau,0,12.8
Labastide-Villefranche,18.5,8.2
Labatmale,13.7,13.7
Labatut-Figuières,0,12.8
Labets-Biscay,13,0
Labeyrie,0,39.8
Lacadée,0,0
Lacarre,0,25.9
Lacarry-Arhan-Charritte-de-Haut,0,0
Lacommande,0,0
Lacq,15.1,13.1
Lagor,8,18.1
Lagos,9.4,33.4
Laguinge-Restoue,12.1,12.5
Lahonce,14.7,17.1
Lahontan,7.5,5.9
Lahourcade,11.1,0
Lalongue,0,0
Lalonquette,11.6,24.8
Lamayou,9.7,19.5
Lanne-en-Barétous,0,16.5
Lannecaube,0,20
Lanneplaà,0,16.4
Lantabat,8.5,0
Larceveau-Arros-Cibits,11,16
Laroin,8.8,22.4
Larrau,0,31.7
Larressore,12.5,13.8
Larreule,0,0
Larribar-Sorhapuru,0,24.5
Laruns,10.8,17.1
Lasclaveries,0,8
Lasse,0,6.8
Lasserre,0,0
Lasseube,8.5,21.1
Lasseubetat,0,41.1
Lay-Lamidou,N/A - division par 0,N/A - division par 0
Lecumberry,0,0
Ledeuix,10.6,14.4
Lée,28,15.3
Lées-Athas,0,13.1
Lembeye,17.6,38.3
Lème,14.4,14.3
Léren,0,0
Lescar,14.3,33.4
Lescun,0,18.1
Lespielle,0,0
Lespourcy,14.3,0
Lestelle-Bétharram,15.3,15.9
Lichans-Sunhar,0,0
Lichos,11.5,11.3
Licq-Athérey,30.7,23.3
Limendous,0,42.7
Livron,7.8,21.7
Lohitzun-Oyhercq,10,0
Lombia,0,22.1
Lonçon,0,60.8
Lons,11.1,24.9
Loubieng,0,18.8
Louhossoa,7.9,25
Lourdios-Ichère,0,31.9
Lourenties,0,20.5
Louvie-Juzon,5.3,28.7
Louvie-Soubiron,0,0
Louvigny,0,0
Luc-Armau,0,25
Lucarré,0,50
Lucgarier,13.1,25.2
Lucq-de-Béarn,9.3,5.8
Lurbe-Saint-Christau,0,12.6
Lussagnet-Lusson,0,34.3
Luxe-Sumberraute,8.6,9.7
Lys,0,8.6
Macaye,1.5,8.4
Malaussanne,4.6,44.7
Mascaraàs-Haron,0,0
Maslacq,4.9,25.6
Masparraute,0,0
Maspie-Lalonquère-Juillacq,0,41.3
Maucor,16.3,0
Mauléon-Licharre,10.5,29.4
Maure,0,40
Mazères-Lezons,5.7,55.7
Mazerolles,6.3,23.5
Méharin,0,8.4
Meillon,0,14.6
Mendionde,8.9,11.3
Menditte,0,25
Mendive,0,0
Méracq,60.3,0
Méritein,0,20.7
Mesplède,0,20.5
Mialos,0,0
Miossens-Lanusse,33.3,0
Mirepeix,5.8,37.9
Momas,5.3,16.3
Momy,0,0
Monassut-Audiracq,0,7.8
Moncaup,0,0
Moncayolle-Larrory-Mendibieu,0,29.7
Moncla,N/A - division par 0,N/A - division par 0
Monein,10,29.9
Monpezat,0,66.1
Monségur,0,100
Mont,8.4,10.3
Montagut,0,50
Montaner,9.7,19.6
Montardon,18.1,15.8
Montaut,12.3,13.2
Mont-Disse,0,33.8
Montfort,19.7,19.7
Montory,0,34.8
Morlaàs,13.5,25.4
Morlanne,0,48.6
Mouguerre,9.4,19.7
Mouhous,0,0
Moumour,0,9.3
Mourenx,12.4,29.9
Musculdy,27.5,3.9
Nabas,0,19.8
Narcastet,26.1,6.4
Narp,0,28.4
Navailles-Angos,6.8,26.1
Navarrenx,11.9,27.9
Nay,18.4,31.9
Noguères,34.4,9.4
Nousty,16.2,28.8
Ogenne-Camptort,16,0
Ogeu-les-Bains,12.6,7.9
Oloron-Sainte-Marie,12.9,30.4
Oraàs,0,0
Ordiarp,5,2.6
Orègue,4.1,8.2
Orin,10.2,13.9
Orion,20,0
Orriule,0,0
Orsanco,0,100
Orthez,13.1,32.2
Os-Marsillon,9.3,18.4
Ossas-Suhare,0,0
Osse-en-Aspe,5.4,63.1
Ossenx,0,0
Osserain-Rivareyte,14.4,14.8
Ossès,3.6,34.2
Ostabat-Asme,7.5,11.6
Ouillon,11.7,17.2
Ousse,12.9,44.7
Ozenx-Montestrucq,27.5,24.9
Pagolle,7.6,7.6
Parbayse,0,25.6
Pardies,9.3,18.9
Pardies-Piétat,10.5,8.3
Pau,21.6,28.8
Peyrelongue-Abos,55.7,32.1
Piets-Plasence-Moustrou,0,0
Poey-de-Lescar,7.4,25.6
Poey-d'Oloron,0,0
Pomps,7.9,15.8
Ponson-Debat-Pouts,0,0
Ponson-Dessus,0,18.7
Pontacq,9,32.6
Pontiacq-Viellepinte,16.8,16.8
Portet,2.4,31.5
Pouliacq,N/A - division par 0,N/A - division par 0
Poursiugues-Boucoue,0,66.6
Préchacq-Josbaig,0,23.2
Préchacq-Navarrenx,0,23.3
Précilhon,15.2,7.6
Puyoô,6.8,23.5
Ramous,0,34.7
Rébénacq,4.2,16.7
Ribarrouy,0,40.1
Riupeyrous,0,25
Rivehaute,7.4,25.7
Rontignon,5.3,69.4
Roquiague,0,0
Saint-Abit,18.1,0
Saint-Armou,17.2,16.9
Saint-Boès,0,7.1
Saint-Castin,0,31.7
Sainte-Colome,24.8,19.6
Saint-Dos,0,100
Sainte-Engrâce,0,0
Saint-Esteben,0,8.3
Saint-Étienne-de-Baïgorry,7,29.9
Saint-Faust,21.5,23.6
Saint-Girons-en-Béarn,0,32.6
Saint-Gladie-Arrive-Munein,4.9,11.1
Saint-Goin,57.4,42.6
Saint-Jammes,4.6,46.6
Saint-Jean-de-Luz,15.4,32.8
Saint-Jean-le-Vieux,7.2,24.2
Saint-Jean-Pied-de-Port,9.8,39.9
Saint-Jean-Poudge,0,0
Saint-Just-Ibarre,20,20
Saint-Laurent-Bretagne,8.9,9.1
Saint-Martin-d'Arberoue,0,14.7
Saint-Martin-d'Arrossa,11.2,14.7
Saint-Médard,0,17.2
Saint-Michel,12.7,36.6
Saint-Palais,14.5,29.4
Saint-Pé-de-Léren,0,25.2
Saint-Pée-sur-Nivelle,14.6,26.7
Saint-Pierre-d'Irube,10.5,45.6
Saint-Vincent,0,15.8
Salies-de-Béarn,9.4,37.2
Salles-Mongiscard,4.7,16.2
Sallespisse,15.5,12.3
Sames,0,26.9
Samsons-Lion,0,9.1
Sare,1.9,30
Sarpourenx,0,100
Sarrance,16,8.4
Saubole,0,52
Saucède,0,66.7
Sauguis-Saint-Étienne,0,40
Sault-de-Navailles,5.6,31.8
Sauvagnon,12.3,25.4
Sauvelade,22.6,10.2
Sauveterre-de-Béarn,10.8,40
Séby,29.9,0
Sedze-Maubecq,0,0
Sedzère,0,52.6
Séméacq-Blachon,0,0
Sendets,13.4,23.8
Serres-Castet,14.7,19.6
Serres-Morlaàs,17.4,10.9
Serres-Sainte-Marie,0,22.2
Sévignacq-Meyracq,3.1,22.3
Sévignacq,6.4,27.9
Simacourbe,9.2,27.6
Siros,9.7,51.6
Soumoulou,11.1,40.2
Souraïde,4.8,32.8
Suhescun,0,0
Sus,0,18.3
Susmiou,5.7,25.4
Tabaille-Usquain,N/A - division par 0,N/A - division par 0
Tadousse-Ussau,N/A - division par 0,N/A - division par 0
Tardets-Sorholus,7.8,27.5
Taron-Sadirac-Viellenave,12,40.1
Tarsacq,0,12.5
Thèze,8,36.8
Trois-Villes,12.9,13.1
Uhart-Cize,4.9,9.6
Uhart-Mixe,0,33
Urcuit,12.4,40.8
Urdos,0,100
Urepel,0,7.5
Urost,0,0
Urrugne,12.6,27.4
Urt,14.9,29.7
Ustaritz,12.5,28.1
Uzan,11.7,44
Uzein,13.4,47.5
Uzos,11.7,25.7
Verdets,0,25.2
Vialer,0,31.9
Viellenave-d'Arthez,0,14.5
Viellenave-de-Navarrenx,33.5,0
Vielleségure,0,24.5
Vignes,10.3,12.7
Villefranque,4.5,16.5
Viodos-Abense-de-Bas,1.4,10
Viven,0,40
Adast,0,19.4
Adé,10.5,9.6
Adervielle-Pouchergues,N/A - division par 0,N/A - division par 0
Agos-Vidalos,7.8,23.7
Allier,8.3,0
Ancizan,8.2,24.6
Andrest,8.1,17.4
Anères,0,0
Angos,23.4,22.3
Les Angles,0,19.6
Anla,0,0
Ansost,0,0
Antichan,N/A - division par 0,N/A - division par 0
Antin,0,0
Antist,0,0
Aragnouet,6.3,36.9
Arbéost,0,0
Arcizac-Adour,0,23.9
Arcizac-ez-Angles,0,0
Arcizans-Avant,17.6,20.1
Arcizans-Dessus,0,0
Ardengost,N/A - division par 0,N/A - division par 0
Argelès-Bagnères,4.9,34
Argelès-Gazost,10.7,35.3
Aries-Espénan,0,48.4
Arné,0,13.9
Arras-en-Lavedan,0,41.5
Arreau,8.6,28.9
Arrens-Marsous,4.4,45.5
Arrodets-ez-Angles,0,33.3
Arrodets,0,100
Artagnan,12.4,13.2
Artalens-Souin,50,0
Artiguemy,0,33.3
Artigues,0,100
Aspin-Aure,0,0
Aspin-en-Lavedan,0,24.3
Asque,0,0
Asté,0,0
Astugue,15.5,35.7
Aubarède,0,23.6
Aucun,30.6,21
Aulon,10,10
Aureilhan,7.9,36.6
Aurensan,0,0
Auriébat,0,0
Avajan,0,25
Aventignan,0,39.6
Averan,0,0
Aveux,N/A - division par 0,N/A - division par 0
Avezac-Prat-Lahitte,6.6,53.6
Ayros-Arbouix,0,30.2
Ayzac-Ost,10.7,42.8
Azereix,3.4,33.7
Azet,0,16.7
Bagnères-de-Bigorre,11.5,35.2
Banios,0,0
Barbachen,N/A - division par 0,N/A - division par 0
Barbazan-Debat,4.7,33
Barbazan-Dessus,0,0
Bareilles,0,0
Barlest,0,0
Barrancoueu,N/A - division par 0,N/A - division par 0
Barry,0,40.5
Barthe,0,0
La Barthe-de-Neste,14.7,23.5
Bartrès,0,25.7
Batsère,N/A - division par 0,N/A - division par 0
Bazet,13.7,12
Bazillac,0,0
Bazordan,0,0
Bazus-Aure,0,0
Bazus-Neste,0,0
Beaucens,4.3,6.2
Beaudéan,0,25.1
Bégole,0,0
Bénac,15.6,7.9
Benqué-Molère,0,0
Berbérust-Lias,0,0
Bernac-Debat,0,24.9
Bernac-Dessus,0,47.7
Bernadets-Debat,0,0
Bernadets-Dessus,0,0
Bertren,0,50
Betbèze,0,0
Betpouey,0,25.6
Betpouy,0,0
Bettes,0,0
Beyrède-Jumet-Camous,4.7,14
Bize,0,0
Bizous,66.8,0
Bonnefont,0,65.5
Bonnemazon,0,31.6
Bonrepos,0,0
Boô-Silhen,0,23.9
Bordères-Louron,24.1,42.8
Bordères-sur-l'Échez,7,27
Bordes,9,8.9
Bouilh-Devant,0,0
Bouilh-Péreuilh,0,0
Boulin,0,17.2
Bourg-de-Bigorre,0,37.5
Bourisp,7.9,68.7
Bourréac,0,0
Bours,3.3,19.6
Bramevaque,N/A - division par 0,N/A - division par 0
Bugard,0,0
Bulan,0,100
Bun,0,50.1
Burg,0,0
Buzon,0,50
Cabanac,0,61.4
Cadéac,0,22.6
Cadeilhan-Trachère,N/A - division par 0,N/A - division par 0
Caharet,0,0
Caixon,14.2,14.5
Calavanté,0,0
Camalès,34.2,32.8
Campan,9.7,31.6
Camparan,0,0
Campistrous,7.4,13.6
Campuzan,0,0
Capvern,4.8,38.8
Castelbajac,0,100
Castelnau-Magnoac,3.8,46.1
Castelnau-Rivière-Basse,16.2,38.2
Castelvieilh,0,0
Castéra-Lanusse,N/A - division par 0,N/A - division par 0
Castéra-Lou,0,0
Casterets,0,0
Castillon,N/A - division par 0,N/A - division par 0
Caubous,0,0
Caussade-Rivière,0,0
Cauterets,0,33.9
Cazarilh,0,0
Cazaux-Debat,N/A - division par 0,N/A - division par 0
Cazaux-Fréchet-Anéran-Camors,N/A - division par 0,N/A - division par 0
Chelle-Debat,0,33.2
Chelle-Spou,0,0
Cheust,N/A - division par 0,N/A - division par 0
Chèze,0,0
Chis,26.5,11.3
Cieutat,6.7,28.3
Cizos,0,0
Clarac,0,20
Clarens,6.8,26.5
Collongues,0,0
Coussan,0,39.7
Créchets,N/A - division par 0,N/A - division par 0
Devèze,0,0
Dours,23.2,47
Ens,0,0
Esbareich,0,0
Escala,0,0
Escaunets,0,0
Escondeaux,13.1,52.3
Esconnets,0,0
Escots,N/A - division par 0,N/A - division par 0
Escoubès-Pouts,N/A - division par 0,N/A - division par 0
Esparros,0,9.2
Espèche,N/A - division par 0,N/A - division par 0
Espieilh,0,0
Esquièze-Sère,7,47.4
Estaing,0,0
Estampures,0,0
Estarvielle,0,0
Estensan,N/A - division par 0,N/A - division par 0
Esterre,0,48.1
Estirac,0,0
Ferrère,0,0
Ferrières,0,0
Fontrailles,33.3,0
Fréchède,N/A - division par 0,N/A - division par 0
Fréchendets,0,0
Fréchet-Aure,N/A - division par 0,N/A - division par 0
Fréchou-Fréchet,0,100
Gaillagos,0,0
Galan,11.4,46.3
Galez,N/A - division par 0,N/A - division par 0
Gardères,0,10.1
Gaudent,0,0
Gaussan,0,27.5
Gayan,N/A - division par 0,N/A - division par 0
Gazave,N/A - division par 0,N/A - division par 0
Gazost,0,0
Gavarnie-Gèdre,8.8,15.9
Gembrie,N/A - division par 0,N/A - division par 0
Générest,49.7,0
Génos,3.3,29.3
Gensac,N/A - division par 0,N/A - division par 0
Ger,0,6
Gerde,34.9,20.4
Germ,5.1,25.6
Germs-sur-l'Oussouet,0,54
Geu,0,100
Gez,0,0
Gez-ez-Angles,0,100
Gonez,81,0
Gouaux,0,0
Goudon,13.1,0
Gourgue,0,100
Grailhen,N/A - division par 0,N/A - division par 0
Grézian,0,25.1
Grust,0,0
Guchan,0,50
Guchen,0,37
Guizerix,0,0
Hachan,0,0
Hagedet,0,0
Hauban,66.7,0
Hautaget,0,0
Hèches,12.1,47.7
Hères,0,27.5
Hibarette,0,25.6
Hiis,0,50.2
Hitte,0,0
Horgues,5.9,41.9
Houeydets,0,32.9
Hourc,0,0
Ibos,6.9,38.4
Ilhet,0,25.1
Ilheu,0,0
Izaourt,0,30.7
Izaux,20,20
Jacque,0,50
Jarret,0,62.7
Jézeau,0,0
Juillan,11.5,45.7
Julos,0,0
Juncalas,0,0
Labassère,10.2,20.8
Labastide,11.3,0
Labatut-Rivière,0,34
Laborde,0,23.9
Lacassagne,0,0
Lafitole,0,25.1
Lagarde,0,25.1
Lagrange,0,0
Arrayou-Lahitte,N/A - division par 0,N/A - division par 0
Lahitte-Toupière,0,50.3
Lalanne,0,0
Lalanne-Trie,0,59.9
Laloubère,11,39.3
Lamarque-Pontacq,0,17.3
Lamarque-Rustaing,N/A - division par 0,N/A - division par 0
Laméac,16.1,46.3
Lançon,0,0
Lanespède,0,50.4
Lanne,6.3,9.5
Lannemezan,8.5,36
Lansac,12.3,0
Lapeyre,0,21.9
Laran,0,0
Larreule,0,25.4
Larroque,0,0
Lascazères,10.9,32.1
Laslades,0,58.7
Lassales,0,0
Lau-Balagnas,13.8,21.5
Layrisse,19,0
Lescurry,0,0
Lespouey,0,0
Lézignan,7.2,27.2
Lhez,0,0
Liac,0,100
Libaros,0,0
Lies,0,33.3
Lizos,0,0
Lombrès,0,0
Lomné,5,0
Lortet,0,17
Loubajac,9.3,9.3
Loucrup,0,0
Loudenvielle,6.4,37.3
Loudervielle,0,0
Louey,16.7,9.1
Louit,N/A - division par 0,N/A - division par 0
Lourdes,10.2,35.5
Loures-Barousse,12.7,43.2
Lubret-Saint-Luc,0,0
Luby-Betmont,0,0
Luc,0,14.5
Lugagnan,0,0
Luquet,16.2,15.2
Lustar,33.5,0
Lutilhous,0,0
Luz-Saint-Sauveur,6.9,38.1
Madiran,1.9,22
Mansan,0,0
Marquerie,0,0
Marsac,0,0
Marsas,100,0
Marseillan,0,0
Mascaras,0,48.6
Maubourguet,6.6,27
Mauléon-Barousse,0,14.9
Mauvezin,0,54.1
Mazères-de-Neste,0,50.5
Mazerolles,0,0
Mazouau,50,0
Mérilheu,0,15.1
Mingot,N/A - division par 0,N/A - division par 0
Momères,6,23.7
Monfaucon,0,0
Monléon-Magnoac,18.1,18.5
Monlong,0,0
Mont,0,0
Montastruc,3.3,64.2
Montégut,19.2,20.4
Montgaillard,11,21.7
Montignac,0,0
Montoussé,0,26.4
Montsérié,N/A - division par 0,N/A - division par 0
Moulédous,0,32.8
Moumoulous,N/A - division par 0,N/A - division par 0
Mun,0,0
Nestier,0,0
Neuilh,0,0
Nistos,0,33.4
Nouilhan,0,20.2
Odos,7.3,30.2
Oléac-Debat,0,0
Oléac-Dessus,0,0
Omex,0,0
Ordizan,0,56.6
Organ,N/A - division par 0,N/A - division par 0
Orieux,17.3,0
Orignac,11.2,0
Orincles,0,0
Orleix,7.4,31.9
Oroix,0,0
Osmets,0,0
Ossen,0,14.7
Ossun,14.5,30.7
Ossun-ez-Angles,N/A - division par 0,N/A - division par 0
Oueilloux,N/A - division par 0,N/A - division par 0
Ourde,N/A - division par 0,N/A - division par 0
Ourdis-Cotdoussan,0,0
Ourdon,N/A - division par 0,N/A - division par 0
Oursbelille,4.2,36.9
Ousté,N/A - division par 0,N/A - division par 0
Ouzous,0,0
Ozon,0,0
Pailhac,N/A - division par 0,N/A - division par 0
Paréac,0,0
Péré,0,0
Peyraube,0,37.9
Peyret-Saint-André,0,0
Peyriguère,N/A - division par 0,N/A - division par 0
Peyrouse,0,14.8
Peyrun,N/A - division par 0,N/A - division par 0
Pierrefitte-Nestalas,12.5,15.2
Pinas,11.3,63.5
Pintac,N/A - division par 0,N/A - division par 0
Poueyferré,0,16.6
Poumarous,0,0
Pouy,N/A - division par 0,N/A - division par 0
Pouyastruc,0,42.7
Pouzac,2.1,44.4
Préchac,0,24.6
Pujo,0,31.1
Puntous,0,0
Puydarrieux,6.9,14.3
Rabastens-de-Bigorre,6.2,34.9
Recurt,0,24.8
Réjaumont,0,0
Ricaud,0,0
Ris,N/A - division par 0,N/A - division par 0
Sabalos,0,100
Sabarros,N/A - division par 0,N/A - division par 0
Sacoué,0,19.1
Sadournin,0,0
Sailhan,16.3,16.3
Saint-Arroman,0,0
Saint-Créac,N/A - division par 0,N/A - division par 0
Saint-Lanne,0,0
Saint-Lary-Soulan,8.7,34.1
Saint-Laurent-de-Neste,14.3,39.8
Saint-Lézer,12.4,12.9
Sainte-Marie,0,0
Saint-Martin,0,0
Saint-Pastous,0,0
Saint-Paul,0,47.2
Saint-Pé-de-Bigorre,4.1,26.5
Saint-Savin,15,15.1
Saint-Sever-de-Rustan,0,24.7
Saléchan,0,0
Saligos,0,49.4
Salles,39.3,0
Salles-Adour,8.2,30.8
Samuran,N/A - division par 0,N/A - division par 0
Sanous,0,100
Sariac-Magnoac,11.1,0
Sarlabous,0,50.8
Sarniguet,20.6,19.1
Sarp,0,17.3
Sarrancolin,9.1,23.5
Sarriac-Bigorre,0,28.7
Sarrouilles,10.4,31.3
Sassis,0,24.4
Sauveterre,0,0
Sazos,0,50
Ségalas,0,100
Ségus,29.7,15.5
Seich,50.4,0
Séméac,21.1,17.9
Sénac,0,49
Sentous,0,0
Sère-en-Lavedan,0,32.3
Sère-Lanso,0,76
Séron,0,0
Sère-Rustaing,0,0
Sers,0,75
Siarrouy,0,20.2
Sinzos,0,0
Siradan,3.5,54
Sireix,25,25
Sombrun,0,50
Soréac,0,100
Sost,0,0
Soublecause,25,16.7
Soues,17.1,22.9
Soulom,9,18.2
Souyeaux,N/A - division par 0,N/A - division par 0
Tajan,0,0
Talazac,100,0
Tarasteix,0,0
Tarbes,14.7,35.1
Thèbe,0,0
Thermes-Magnoac,0,0
Thuy,N/A - division par 0,N/A - division par 0
Tibiran-Jaunac,0,62.1
Tilhouse,0,39.1
Tostat,0,9
Tournay,16.2,32.1
Tournous-Darré,0,0
Tournous-Devant,0,32.6
Tramezaïgues,N/A - division par 0,N/A - division par 0
Trébons,5.5,28.5
Trie-sur-Baïse,5.8,38.3
Troubat,39.8,19.9
Trouley-Labarthe,0,0
Tuzaguet,0,0
Uglas,0,100
Ugnouas,0,0
Uz,32.9,0
Uzer,0,0
Vic-en-Bigorre,13.7,38
Vidou,N/A - division par 0,N/A - division par 0
Vidouze,0,0
Viella,0,0
Vielle-Adour,20,30.3
Vielle-Aure,7.6,30.4
Vielle-Louron,0,0
Vier-Bordes,0,0
Vieuzos,0,0
Viey,N/A - division par 0,N/A - division par 0
Viger,0,0
Vignec,9.5,32.1
Villefranque,0,0
Villelongue,9.6,38.9
Villembits,0,27.7
Villemur,0,33
Villenave-près-Béarn,100,0
Villenave-près-Marsac,0,0
Viscos,0,66
Visker,0,34.1
Barèges,3.9,34
Cantaous,0,69
L'Albère,25,25
Alénya,7.9,26.5
Amélie-les-Bains-Palalda,13.5,41.1
Les Angles,5.7,29
Angoustrine-Villeneuve-des-Escaldes,7.4,23.1
Ansignan,100,0
Arboussols,0,0
Argelès-sur-Mer,11.8,31.9
Arles-sur-Tech,11.3,38.2
Ayguatébia-Talau,54.6,0
Bages,10.8,29
Baho,12.7,23.5
Baillestavy,0,0
Baixas,3.4,20.3
Banyuls-dels-Aspres,10.7,42.6
Banyuls-sur-Mer,18.7,35.8
Le Barcarès,6.9,33
La Bastide,0,50
Bélesta,0,8.7
Bolquère,7,39
Bompas,5.4,33.9
Boule-d'Amont,32.6,32.6
Bouleternère,5,19.7
Le Boulou,8.9,34.9
Bourg-Madame,9.8,31.4
Brouilla,3,33.2
La Cabanasse,5.5,29.8
Cabestany,14.9,31.7
Caixas,50,0
Calce,7.9,11.1
Calmeilles,0,0
Camélas,4.6,1.2
Campôme,0,25
Campoussy,0,0
Canaveilles,0,100
Canet-en-Roussillon,11.2,31.9
Canohès,8.8,29.9
Caramany,0,64
Casefabre,0,0
Cases-de-Pène,10.3,9.8
Cassagnes,7.6,15.5
Casteil,0,19.5
Castelnou,13.1,11.1
Catllar,8,22.7
Caudiès-de-Fenouillèdes,4.9,25.4
Caudiès-de-Conflent,N/A - division par 0,N/A - division par 0
Cerbère,4,31.8
Céret,14.6,27.1
Claira,5.8,47.3
